Date,Lobbyist Name,Firm Name,Description,Amount,Payee Name,Payee City,Payee State,Payee Zip,Experts or Issues,Activity Type,Lobbyist Type,Activity Id,From Filing
06/30/2021,"DoorDash, Inc.",,"Community engagement, outreach, consulting",8500.00,Elevate Public Affairs,Sacramento,CA,95814,"Payment To Influence Municipal Decision
Police Code - Third Party Food Delivery Services
",PaymentsToInfluence,expenditure,eb59b23c-c26f-42a8-9ca2-d80af30f14a6,03f4bc2a-a2d6-4723-bdc9-a89235eb656a
06/01/2021,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance
",PaymentsToInfluence,expenditure,77aad37c-17b4-4896-8f27-b045c31f433e,17448187-8e68-4521-ba41-e4dbae15617c
06/29/2021,KID SAFE SF,,Poster Design,1300.00,AB Art & Design,San Francisco,CA,94131,"Payment To Influence Municipal Decision
Golden Gate Park Slow Streets
",PaymentsToInfluence,expenditure,79698958-d32a-43ec-95ee-43cad81d6d5c,f4017010-0a8a-49f3-b40b-13be5340ebcd
07/01/2021,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance
",PaymentsToInfluence,expenditure,6753477b-133d-4106-afc4-c9f95f227c80,9dacf4bd-d69e-4358-85df-cf085ae5766f
10/15/2021,KID SAFE SF,,Screen Printing/Graphic Design,1931.35,IN AGAINST THE GRAIN,San Francisco,CA,94116,"Payment To Influence Municipal Decision
Golden Gate Park Slow Streets
",PaymentsToInfluence,expenditure,9c3b43c4-e9f5-48dd-9560-3e131e8a8caf,00161258-98c9-4642-ba08-2b0f8765a854
10/01/2021,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance
",PaymentsToInfluence,expenditure,a481af42-30bc-424b-84e0-2b80ac30cb58,07a986a9-1383-417b-9e69-40591bd67c32
01/31/2022,Corp. Fine Arts Museums of SF,,Grassroots lobbying,15000.00,Platinum Advisors,San Francisco,CA,94133,"Payment To Influence Municipal Decision
Golden Gate Park Transportation Issues
",PaymentsToInfluence,expenditure,8c1deb5b-2dd5-406c-bd8c-5475df34f31e,831fa80f-29bf-4e6d-b7b1-1aa77b17dd5d
01/31/2022,GROW SF,,Advertisements,10000.00,Bearstar Strategies Inc.,San Francisco,CA,94104,"Payment To Influence Municipal Decision
Recall Supression
---
Payment To Influence Municipal Decision
Split Appointments
",PaymentsToInfluence,expenditure,a4fe6ae7-bab0-4e5b-9f43-6e7401058d2f,7c86b699-4579-4c28-af65-448162cb43c4
01/28/2022,Corp. Fine Arts Museums of SF,,Grassroots mobilization platform,4000.00,Phone2Action,Arlington,VA,22209,"Payment To Influence Municipal Decision
Golden Gate Park Transportation Issues
",PaymentsToInfluence,expenditure,0341bba3-c777-423f-9a2d-f0f176dc6022,831fa80f-29bf-4e6d-b7b1-1aa77b17dd5d
01/28/2022,GROW SF,,"Web design, branding consulting, web services",5500.00,Yosemite Consulting,Los Angeles,CA,90021,"Payment To Influence Municipal Decision
Split Appointments
---
Payment To Influence Municipal Decision
Recall Supression
",PaymentsToInfluence,expenditure,77e0ad86-56d5-479f-8b56-6c9f6af5be0d,7c86b699-4579-4c28-af65-448162cb43c4
